time_step,true_pitch_deg,pred_pitch_deg,error
397,-53.63614,-56.59914,2.9630013
398,-52.099655,-55.051304,2.9516487
399,-51.067738,-53.66445,2.596714
400,-51.067738,-52.654755,1.587017
401,-51.067738,-52.08324,1.0155029
402,-52.099655,-51.826145,-0.27350998
403,-51.067738,-51.96714,0.8994026
404,-51.067738,-52.059284,0.99154663
405,-52.099655,-52.125305,0.025650024
406,-52.099655,-52.385475,0.28582
407,-52.099655,-52.709064,0.60940933
408,-52.099655,-53.03344,0.9337845
409,-52.099655,-53.296112,1.1964569
410,-52.099655,-53.51736,1.4177055
411,-53.12256,-53.688766,0.5662079
412,-53.63614,-53.994465,0.35832596
413,-53.63614,-54.39608,0.7599411
414,-53.63614,-54.774178,1.1380386
415,-54.65667,-55.122013,0.46534348
416,-54.65667,-55.50521,0.84854126
417,-56.203938,-55.94095,-0.26298904
418,-56.203938,-56.648926,0.44498825
419,-57.212067,-57.351536,0.13946915
420,-58.768543,-58.1246,-0.6439438
421,-59.76329,-59.047417,-0.7158737
422,-61.32737,-60.034348,-1.2930222
423,-61.32737,-61.192783,-0.13458633
424,-62.307796,-62.0016,-0.30619812
425,-62.307796,-62.62901,0.32121277
426,-62.307796,-63.028107,0.7203102
427,-62.902367,-63.25346,0.3510933
428,-62.902367,-63.469784,0.56741714
429,-62.902367,-63.631245,0.728878
430,-62.902367,-63.73672,0.8343544
431,-62.902367,-62.975445,0.073078156
432,-62.902367,-60.462696,-2.4396706
433,-63.877857,-58.08539,-5.792469
434,-62.902367,-56.83947,-6.0628967
435,-61.32737,-56.18875,-5.1386185
436,-59.76329,-55.548843,-4.214447
437,-57.212067,-54.76396,-2.4481049
438,-56.203938,-53.667862,-2.5360756
439,-52.07375,-52.50245,0.4286995
440,-51.042294,-50.92043,-0.12186432
441,-49.519333,-49.42258,-0.09675217
442,-47.42701,-47.98686,0.5598488
443,-45.939514,-46.479713,0.5401993
444,-44.42303,-45.00812,0.58509064
445,-42.317272,-43.40757,1.0902977
446,-40.839745,-41.889385,1.0496407
447,-38.684036,-40.314625,1.6305885
448,-37.22705,-38.69738,1.4703293
449,-36.140453,-37.139236,0.9987831
450,-34.692364,-35.729343,1.0369797
451,-32.505806,-34.409035,1.9032288
