time_step,true_roll_deg,pred_roll_deg,error
502,177.48369,172.73322,4.750473
503,177.46967,172.72559,4.7440796
504,177.45491,172.72183,4.733078
505,177.42422,172.72812,4.696106
506,177.40816,172.70453,4.7036285
507,177.40816,172.6816,4.7265625
508,177.39127,172.64441,4.7468567
509,177.37354,172.60898,4.764557
510,177.32095,172.57071,4.750244
511,177.3007,172.51085,4.789856
512,177.17027,172.41876,4.7515106
513,172.84135,167.25601,5.5853424
514,168.9711,167.54909,1.4220123
515,167.49599,165.35278,2.1432037
516,171.25385,161.77332,9.48053
517,168.8825,160.7467,8.135803
518,167.47119,160.07593,7.3952637
519,158.1986,157.91878,0.27981567
520,3.5763345,4.605362,-1.0290275
521,3.3664606,4.2654343,-0.8989737
522,3.270488,3.9262543,-0.65576625
523,3.0127876,3.6166077,-0.6038201
524,2.8624053,3.2400513,-0.37764597
525,2.7927024,2.8611832,-0.06848073
526,2.6630008,2.5208893,0.14211154
527,2.6025622,2.2077026,0.39485955
528,2.489553,1.926857,0.562696
529,2.4366481,1.6388168,0.7978313
530,2.3373058,1.3609619,0.97634387
531,2.3373058,1.0689697,1.268336
532,2.2457426,0.8311157,1.4146268
533,2.202598,0.59983826,1.6027598
534,1.518288,0.4475479,1.0707401
535,1.5357567,-0.3345108,1.8702675
536,1.5999266,-1.152153,2.7520795
537,1.6496625,-1.5776291,3.2272916
538,2.7927024,-1.6653671,4.45807
539,3.0127876,-0.69506836,3.707856
540,3.5763345,0.76291656,2.813418
541,3.9451861,2.5756989,1.3694873
542,4.573921,3.998375,0.57554626
543,4.969741,4.487541,0.48219967
544,5.710593,4.4347534,1.2758398
545,6.340192,4.4741898,1.8660021
546,6.709837,4.7066193,2.0032177
547,6.709837,5.0446243,1.6652126
548,6.340192,5.1972656,1.1429262
549,6.709837,4.907013,1.802824
550,6.340192,4.3011017,2.0390902
551,6.340192,3.499382,2.8408098
552,5.710593,2.85997,2.8506231
553,4.969741,2.4139404,2.5558004
554,4.236395,2.119545,2.11685
555,3.8140748,1.9133606,1.9007142
556,3.5763345,1.7834702,1.7928643
557,3.270488,1.7543335,1.5161545
558,3.0127876,1.7344742,1.2783134
559,2.7927024,1.782547,1.0101554
560,2.6630008,1.7317429,0.93125796
561,1.7566253,1.5483704,0.20825493
562,2.6630008,1.1338425,1.5291584
563,2.726311,0.98594666,1.7403643
564,2.726311,1.0373001,1.6890109
565,2.7927024,1.0873413,1.7053611
566,2.7927024,1.1368332,1.6558692
567,2.7927024,1.1600876,1.6326149
568,2.7927024,1.1689224,1.62378
569,2.7927024,1.1865387,1.6061637
570,2.7927024,1.2240448,1.5686576
571,2.7927024,1.2824326,1.5102699
572,2.7927024,1.3641815,1.4285209
573,2.7927024,1.4651413,1.3275611
574,2.7927024,1.5694809,1.2232215
575,2.7927024,1.6845932,1.1081092
576,2.7927024,1.8108368,0.98186564
577,3.7605107,1.9258347,1.834676
578,3.7605107,2.3973846,1.363126
579,2.7927024,2.6669083,0.12579417
580,3.7605107,2.4955063,1.2650044
581,3.5665076,2.5821762,0.98433137
582,2.6025622,2.594925,0.0076372623
583,2.489553,2.3897781,0.09977484
584,2.4366481,2.1944962,0.24215198
585,2.3373058,2.128662,0.20864367
586,2.202598,2.130844,0.07175398
587,2.1210964,2.1102371,0.010859251
588,2.0454085,2.0765991,-0.031190634
589,1.9414864,2.0614853,-0.11999893
590,1.9091524,2.014511,-0.10535872
591,1.818303,1.9955292,-0.17722619
592,1.762391,1.9118652,-0.14947426
593,1.6602824,1.7921753,-0.13189292
594,1.613539,1.599144,0.014394999
595,1.5693548,1.4123383,0.15701652
596,1.5481577,1.2173004,0.33085728
597,1.5074358,1.0393677,0.46806812
598,1.4688007,0.8601303,0.60867035
599,1.4502163,0.65039825,0.79981804
600,1.4320962,0.4491577,0.9829385
601,1.3639275,0.267128,1.0967995
602,1.3322198,0.020195007,1.3120248
603,1.3169124,-0.20880127,1.5257137
604,1.1552333,-0.38827515,1.5435084
605,1.2453643,-0.3646698,1.6100341
606,1.2319773,-0.50904846,1.7410258
607,1.2319773,-0.70983124,1.9418086
608,1.2319773,-0.91586304,2.1478405
609,2.2917547,-1.1467133,3.438468
610,1.1459919,-1.3157349,2.4617267
611,1.1458774,-1.7366333,2.8825107
612,1.1458774,-2.2391357,3.385013
613,1.1458774,-2.6650925,3.8109698
614,1.1458774,-2.9819489,4.127826
615,1.1458774,-3.2341614,4.3800387
616,1.1458774,-3.4437714,4.5896487
617,1.1457628,-3.5955658,4.7413287
618,1.1458774,-3.772522,4.9183993
619,1.1458774,-3.814293,4.9601703
620,1.1457628,-3.7549438,4.900707
621,1.1459919,-3.6943665,4.8403583
622,1.1457628,-4.6291275,5.7748904
623,1.1458774,-2.2261887,3.372066
624,1.1457628,1.3279266,-0.18216383
625,1.1459919,3.8717422,-2.7257504
626,1.1233027,5.9693985,-4.846096
627,1.0912162,7.036392,-5.945176
628,1.1500168,7.6000137,-6.449997
