time_step,true_roll_deg,pred_roll_deg,error
471,1.4878675,3.00103,-1.5131625
472,1.4502163,2.8330688,-1.3828526
473,1.2100768,2.6685333,-1.4584565
474,1.1884888,2.585411,-1.3969222
475,1.1846421,2.5381775,-1.3535354
476,1.1810659,2.5204926,-1.3394266
477,2.3552501,2.5142593,-0.15900922
478,2.3435793,2.5334015,-0.1898222
479,2.3385098,2.5291061,-0.19059634
480,2.310226,2.5076447,-0.19741869
481,2.3028018,2.466713,-0.1639111
482,2.2997994,2.4044952,-0.1046958
483,2.2951956,2.3507462,-0.055550575
484,2.2935886,2.300911,-0.0073223114
485,2.2917547,2.2705536,0.021201134
486,2.2915256,2.2458572,0.045668364
487,2.2917547,2.2518692,0.03988552
488,2.2935886,2.2819672,0.011621475
489,2.2951956,2.321663,-0.026467323
490,2.297265,2.3801117,-0.08284664
491,1.151519,2.459671,-1.3081521
492,2.3062758,2.491356,-0.18508005
493,2.310226,2.5786972,-0.26847124
494,1.1719167,2.7008133,-1.5288966
495,1.1747074,2.79216,-1.6174526
496,1.1777558,2.892006,-1.7142501
497,1.1846421,3.0203629,-1.8357208
498,1.1926113,3.1611557,-1.9685444
499,1.2100768,3.328354,-2.118277
500,1.2200669,3.5271835,-2.3071165
501,1.225525,3.7398148,-2.5142899
502,1.2516739,3.975113,-2.723439
503,1.2583326,4.2035217,-2.945189
504,1.2653506,1.6473312,-0.38198066
505,1.2961246,-0.19285583,1.4889804
506,1.304577,-1.0239792,2.328556
507,1.3498926,-1.3175049,2.6673975
508,1.360519,-1.3586273,2.7191463
509,1.4024554,-1.254364,2.6568193
510,1.4151664,-1.0546951,2.4698615
511,1.4637582,-0.7989578,2.262716
512,1.518288,-0.5121918,2.03048
513,1.5357567,-0.2061081,1.7418648
514,1.5798135,0.11849213,1.4613214
515,1.6496625,0.43746185,1.2122006
516,1.7566253,0.7766495,0.9799758
517,1.853381,1.1548386,0.6985425
518,1.9287207,1.5766678,0.35205293
519,0.0,2.0264587,-2.0264587
520,2.054787,2.493042,-0.43825507
521,0.0,2.8044739,-2.8044739
522,0.0,3.194107,-3.194107
523,2.3871267,3.4908295,-1.1037028
524,2.5332892,3.6463623,-1.1130731
525,2.702803,3.9676971,-1.2648942
526,2.9017456,4.454422,-1.5526764
527,5.710593,5.0293655,0.6812277
528,3.772807,5.8213043,-2.0484974
529,7.5946436,7.039009,0.5556345
530,4.805052,8.744926,-3.9398746
531,10.304847,10.449356,-0.14450932
532,12.528808,13.5177,-0.98889256
533,15.945395,18.564972,-2.6195765
534,21.801409,26.401146,-4.599737
535,33.690067,39.655525,-5.965458
536,90.0,63.223675,26.776325
537,135.0,102.89445,32.105553
538,153.43495,135.2083,18.226654
539,164.05461,159.02454,5.030075
540,169.69516,173.47272,-3.7775574
541,171.25385,179.64496,-8.391113
542,172.87498,180.44356,-7.568573
543,173.6598,179.05322,-5.3934174
544,173.6598,176.93625,-3.2764435
545,173.6598,174.7948,-1.1349945
546,173.6598,173.06984,0.5899658
547,173.991,171.91682,2.074173
548,174.28941,171.46729,2.8221283
549,174.28941,171.60988,2.679535
550,174.28941,172.00633,2.283081
551,174.28941,172.46419,1.8252258
